E_0,PX_0,PY_0,PZ_0,E_1,PX_1,PY_1,PZ_1,E_2,PX_2,PY_2,PZ_2,E_3,PX_3,PY_3,PZ_3,is_signal_new
474.07114,-250.34703,-223.65196,-334.7381,103.23624,-48.866222,-56.790775,-71.02549,105.25557,-55.415,-49.968887,-74.23627,40.176777,-21.760696,-18.717611,-28.112215,0
150.50453,120.06239,76.852005,-48.274265,82.25706,63.80174,42.754807,-29.454842,48.57356,36.7632,26.990648,-16.714146,47.044415,36.609283,24.497763,-16.51657,0
251.64539,10.427651,-147.57375,203.56488,104.1478,10.718256,-54.497948,88.101395,78.04321,5.7241125,-43.421295,64.59543,60.968952,3.9721024,-34.616955,50.03101,0
451.56613,129.88544,-99.06629,-420.9841,208.41092,59.03396,-46.17709,-194.46794,190.1833,54.069675,-41.68622,-177.5061,165.95581,46.956554,-37.322773,-154.73662,0
399.0939,-168.43208,-47.205597,-358.71744,273.69196,-121.92694,-30.803854,-243.08893,152.83722,-44.400204,-23.385914,-144.3639,85.448845,-25.207611,-13.659453,-80.495346,0
306.2753,96.23741,-27.163664,289.49103,283.87695,90.63868,-31.63895,267.15115,262.16556,83.561035,-21.880697,247.52692,167.27051,52.71114,-15.348289,158.0044,0
146.24742,66.247086,-42.599674,-123.22703,189.95029,58.527752,-45.88963,-174.78488,151.71617,45.033234,-35.006226,-140.5858,128.02324,43.70473,-31.945684,-116.0143,0
169.18639,-29.472824,86.93336,142.11958,83.59907,-11.078982,42.814793,70.94331,46.992054,-7.090906,35.321487,30.172249,40.931946,-8.433054,30.767677,25.644842,0
142.81845,-80.38826,115.83171,22.756336,96.15301,-54.599506,77.57849,15.680322,88.05263,-49.20505,71.66129,14.028115,64.92427,-36.714336,52.685886,9.561167,0
367.8548,142.67801,-15.8028145,-338.68927,296.48593,114.453636,-11.4336405,-273.26462,120.64603,49.435143,-6.1876693,-109.87876,71.78521,45.23323,-20.126404,-51.98076,0
201.28346,-51.158432,-37.660046,-190.99625,180.91028,-56.838352,-10.626852,-171.42053,140.1956,-46.193573,4.339053,-132.29564,119.41688,-37.35429,1.8288336,-113.40945,0
307.09607,33.40639,233.72833,196.37482,98.38213,3.9829907,75.94384,62.41565,96.91382,11.866274,74.44104,60.90985,63.05159,3.3050997,48.48383,40.173344,0
